time_bin,label,Unnamed: 0,current_popularity,datetime,time,temp,humidity,rain_1h,wind_speed,wind_deg,press,source,day_name,hour
2020-04-06 08:05:00,0.0,337.0,15.0,2020-04-06 08:17:00,,49.17152398002546,95.02572619142548,0.009462949938358806,12.5670309057726,-19.40524732670517,1015.2635689853411,h,Monday,8
2020-04-06 09:05:00,0.0,342.0,19.0,2020-04-06 09:07:00,,49.8947690457185,85.78106983771582,0.01410526815126758,10.175004057374114,92.92228945769527,1015.9171121917184,h,Monday,9
2020-04-06 09:05:00,0.0,343.0,18.0,2020-04-06 09:17:00,,49.8947690457185,85.78106983771582,0.01410526815126758,10.175004057374114,92.92228945769527,1015.9171121917184,h,Monday,9
2020-04-06 10:35:00,0.0,351.0,18.0,2020-04-06 10:37:00,,48.764506007203636,87.72861502267685,0.011809817431815115,11.761986738825259,363.3852971405365,1016.871641980308,h,Monday,10
2020-04-06 10:35:00,0.0,352.0,21.0,2020-04-06 10:48:00,,48.764506007203636,87.72861502267685,0.011809817431815115,11.761986738825259,363.3852971405365,1016.871641980308,h,Monday,10
2020-04-06 10:50:00,0.0,353.0,21.0,2020-04-06 10:58:00,2020-04-06 11:00:00,48.92,86.0,0.0,13.0,350.0,1017.1,h,Monday,10
2020-04-06 12:05:00,0.0,360.0,29.0,2020-04-06 12:08:00,,49.973775372533275,74.76133640607816,0.0009677185901937195,16.30309059364003,353.03660706484453,1017.9341984025637,h,Monday,12
2020-04-06 12:05:00,0.0,361.0,28.0,2020-04-06 12:18:00,,49.973775372533275,74.76133640607816,0.0009677185901937195,16.30309059364003,353.03660706484453,1017.9341984025637,h,Monday,12
2020-04-06 12:50:00,0.0,365.0,31.0,2020-04-06 12:58:00,2020-04-06 13:00:00,50.0,68.0,0.0,20.5,360.0,1018.2,h,Monday,12
2020-04-06 13:50:00,0.0,371.0,36.0,2020-04-06 13:58:00,2020-04-06 14:00:00,53.96,57.0,0.0,13.0,360.0,1018.1,h,Monday,13
2020-04-06 15:05:00,1.0,378.0,41.0,2020-04-06 15:09:00,,56.42270719269603,46.224321758807754,-4.887592301176786e-06,21.138058401900828,343.329511703103,1017.8366041006648,h,Monday,15
2020-04-06 15:05:00,1.0,379.0,41.0,2020-04-06 15:19:00,,56.42270719269603,46.224321758807754,-4.887592301176786e-06,21.138058401900828,343.329511703103,1017.8366041006648,h,Monday,15
2020-04-06 17:05:00,0.0,390.0,49.0,2020-04-06 17:09:00,,59.220757267164366,37.43675970453914,-1.438772839109323e-07,9.289856669197821,337.2716873536713,1016.9050704601683,h,Monday,17
2020-04-06 17:05:00,0.0,391.0,45.0,2020-04-06 17:19:00,,59.220757267164366,37.43675970453914,-1.438772839109323e-07,9.289856669197821,337.2716873536713,1016.9050704601683,h,Monday,17
2020-04-06 17:50:00,1.0,395.0,64.0,2020-04-06 17:59:00,2020-04-06 18:00:00,60.08,35.0,0.0,5.4,230.0,1016.2,h,Monday,17
2020-04-06 19:05:00,0.0,402.0,59.0,2020-04-06 19:10:00,,62.243039890892675,38.37550819552316,-4.235351794911967e-09,13.842068350824986,228.9078583217204,1015.0857915450563,h,Monday,19
2020-04-07 08:05:00,0.0,427.0,18.0,2020-04-07 08:10:00,,51.23953828054138,33.89271552260876,4.469540085786803e-19,10.749274824459443,324.09715009620464,1015.099139544689,h,Tuesday,8
2020-04-07 09:20:00,0.0,434.0,21.0,2020-04-07 09:21:00,,53.019616883411636,34.70689847124561,3.0717156951988355e-19,10.078422962115534,316.00941110746004,1014.9720838358903,h,Tuesday,9
2020-04-07 09:20:00,0.0,435.0,21.0,2020-04-07 09:31:00,,53.019616883411636,34.70689847124561,3.0717156951988355e-19,10.078422962115534,316.00941110746004,1014.9720838358903,h,Tuesday,9
2020-04-07 10:20:00,0.0,440.0,20.0,2020-04-07 10:21:00,,50.155999881650374,49.26585076034587,-2.206191694798141e-18,11.005487156911249,255.4137789483311,1015.0540489267005,h,Tuesday,10
2020-04-07 10:20:00,0.0,441.0,18.0,2020-04-07 10:31:00,,50.155999881650374,49.26585076034587,-2.206191694798141e-18,11.005487156911249,255.4137789483311,1015.0540489267005,h,Tuesday,10
2020-04-07 11:20:00,0.0,446.0,19.0,2020-04-07 11:21:00,,49.64438382668621,65.6979969666792,1.2929978599268962e-17,13.488654096416973,231.5079152025536,1015.5036226039067,h,Tuesday,11
2020-04-07 11:20:00,0.0,447.0,19.0,2020-04-07 11:31:00,,49.64438382668621,65.6979969666792,1.2929978599268962e-17,13.488654096416973,231.5079152025536,1015.5036226039067,h,Tuesday,11
2020-04-07 12:05:00,0.0,451.0,23.0,2020-04-07 12:11:00,,51.59608845600139,63.242563169007205,-2.9881377287714476e-17,12.587388837167973,239.3885342883112,1015.5836279682093,h,Tuesday,12
2020-04-07 12:50:00,0.0,455.0,28.0,2020-04-07 12:52:00,2020-04-07 13:00:00,53.06,54.0,0.0,11.2,240.0,1015.4,h,Tuesday,12
2020-04-07 12:50:00,0.0,456.0,28.0,2020-04-07 13:02:00,2020-04-07 13:00:00,53.06,54.0,0.0,11.2,240.0,1015.4,h,Tuesday,12
2020-04-07 14:05:00,1.0,463.0,29.0,2020-04-07 14:12:00,,57.65095965885459,41.11081602002071,-1.0151011094505527e-15,11.503965650133724,315.4311750853882,1015.2445930510812,h,Tuesday,14
2020-04-07 15:05:00,0.0,469.0,36.0,2020-04-07 15:12:00,,59.77791673268176,39.519000411380475,5.916442908913607e-15,9.583098513747931,271.1329010499543,1014.6913118633954,h,Tuesday,15
2020-04-07 16:05:00,0.0,475.0,40.0,2020-04-07 16:12:00,,62.071539945054845,34.27518151169651,-3.4483556344031094e-14,7.547443267378695,202.77141861488602,1013.6575357685471,h,Tuesday,16
2020-04-07 17:05:00,0.0,481.0,44.0,2020-04-07 17:13:00,,61.077843596989204,37.57991051844051,2.009848951552729e-13,19.0322418819799,212.23858726072947,1012.7884735253236,h,Tuesday,17
2020-04-07 18:20:00,0.0,488.0,42.0,2020-04-07 18:21:00,,61.70583710116543,35.36803111925265,-2.9548135531809098e-12,21.175483099616294,194.68917361353218,1011.4908803545503,h,Tuesday,18
2020-04-07 18:20:00,0.0,489.0,44.0,2020-04-07 18:31:00,,61.70583710116543,35.36803111925265,-2.9548135531809098e-12,21.175483099616294,194.68917361353218,1011.4908803545503,h,Tuesday,18
2020-04-02 16:05:00,0.0,7.0,43.0,2020-04-02 16:13:00,,52.06319067415279,44.617552784492396,5.951342669863969e-13,35.84413991269426,328.02235821580706,1004.8251588911703,i,Thursday,16
2020-04-02 17:50:00,1.0,17.0,41.0,2020-04-02 17:54:00,2020-04-02 18:00:00,57.02,39.0,0.0,44.6,320.0,1003.4,i,Thursday,17
2020-04-02 17:50:00,1.0,18.0,44.0,2020-04-02 18:04:00,2020-04-02 18:00:00,57.02,39.0,0.0,44.6,320.0,1003.4,i,Thursday,17
2020-04-03 07:05:00,0.0,58.0,11.0,2020-04-03 07:08:00,,46.18708920796527,70.6912150222118,1.60947401566505e-05,43.13459325073424,333.29841446279204,1001.93547198026,i,Friday,7
2020-04-03 07:05:00,0.0,59.0,11.0,2020-04-03 07:18:00,,46.18708920796527,70.6912150222118,1.60947401566505e-05,43.13459325073424,333.29841446279204,1001.93547198026,i,Friday,7
2020-04-03 08:50:00,0.0,69.0,20.0,2020-04-03 08:58:00,2020-04-03 09:00:00,46.04,73.0,0.0,29.5,330.0,1001.8,i,Friday,8
