time_bin,label,source
2020-03-25 18:20:00,1.0,mis/imp
2020-03-25 18:35:00,1.0,mis/imp
2020-03-25 18:50:00,,mis/imp
2020-03-25 19:05:00,,mis/imp
2020-03-25 19:20:00,,mis/imp
2020-03-25 19:35:00,,mis/imp
2020-03-25 19:50:00,,mis/imp
2020-03-25 20:05:00,,mis/imp
2020-03-25 20:20:00,,mis/imp
2020-03-25 20:35:00,,mis/imp
2020-03-25 20:50:00,,mis/imp
2020-03-26 07:05:00,,mis/imp
2020-03-26 07:20:00,,mis/imp
2020-03-26 07:35:00,,mis/imp
2020-03-26 07:50:00,,mis/imp
2020-03-26 08:05:00,,mis/imp
2020-03-26 08:20:00,,mis/imp
2020-03-26 08:35:00,,mis/imp
2020-03-26 08:50:00,,mis/imp
2020-03-26 09:05:00,,mis/imp
2020-03-26 09:20:00,,mis/imp
2020-03-26 09:35:00,,mis/imp
2020-03-26 09:50:00,,mis/imp
2020-03-26 10:05:00,,mis/imp
2020-03-26 10:20:00,,mis/imp
2020-03-26 10:35:00,,mis/imp
2020-03-26 10:50:00,,mis/imp
2020-03-26 11:05:00,,mis/imp
2020-03-26 11:20:00,,mis/imp
2020-03-26 11:35:00,,mis/imp
2020-03-26 11:50:00,,mis/imp
2020-03-26 12:05:00,,mis/imp
2020-03-26 12:20:00,,mis/imp
2020-03-26 12:35:00,,mis/imp
2020-03-26 12:50:00,,mis/imp
2020-03-26 13:05:00,,mis/imp
2020-03-26 13:20:00,,mis/imp
2020-03-26 13:35:00,,mis/imp
2020-03-26 13:50:00,,mis/imp
2020-03-26 14:05:00,,mis/imp
2020-03-26 14:20:00,,mis/imp
2020-03-26 14:35:00,,mis/imp
2020-03-26 14:50:00,,mis/imp
2020-03-26 15:05:00,,mis/imp
2020-03-26 15:20:00,,mis/imp
2020-03-26 15:35:00,,mis/imp
2020-03-26 15:50:00,0.0,mis/imp
2020-03-26 16:05:00,0.0,obs
2020-03-26 16:20:00,0.0,mis/imp
2020-03-26 16:35:00,0.0,mis/imp
2020-03-26 16:50:00,,mis/imp
2020-03-26 17:05:00,,mis/imp
2020-03-26 17:20:00,1.0,mis/imp
2020-03-26 17:35:00,1.0,obs
2020-03-26 17:50:00,1.0,mis/imp
2020-03-26 18:05:00,1.0,mis/imp
2020-03-26 18:20:00,,mis/imp
2020-03-26 18:35:00,,mis/imp
2020-03-26 18:50:00,,mis/imp
2020-03-26 19:05:00,,mis/imp
2020-03-26 19:20:00,1.0,mis/imp
2020-03-26 19:35:00,1.0,obs
2020-03-26 19:50:00,1.0,mis/imp
2020-03-26 20:05:00,1.0,mis/imp
2020-03-26 20:20:00,,mis/imp
2020-03-26 20:35:00,,mis/imp
2020-03-26 20:50:00,,mis/imp
2020-03-27 07:05:00,,mis/imp
2020-03-27 07:20:00,,mis/imp
2020-03-27 07:35:00,,mis/imp
2020-03-27 07:50:00,,mis/imp
2020-03-27 08:05:00,,mis/imp
2020-03-27 08:20:00,,mis/imp
2020-03-27 08:35:00,,mis/imp
2020-03-27 08:50:00,,mis/imp
2020-03-27 09:05:00,,mis/imp
2020-03-27 09:20:00,,mis/imp
2020-03-27 09:35:00,,mis/imp
2020-03-27 09:50:00,,mis/imp
2020-03-27 10:05:00,,mis/imp
2020-03-27 10:20:00,,mis/imp
2020-03-27 10:35:00,,mis/imp
2020-03-27 10:50:00,,mis/imp
2020-03-27 11:05:00,,mis/imp
2020-03-27 11:20:00,,mis/imp
2020-03-27 11:35:00,,mis/imp
2020-03-27 11:50:00,,mis/imp
2020-03-27 12:05:00,,mis/imp
2020-03-27 12:20:00,,mis/imp
2020-03-27 12:35:00,,mis/imp
2020-03-27 12:50:00,,mis/imp
2020-03-27 13:05:00,,mis/imp
2020-03-27 13:20:00,,mis/imp
2020-03-27 13:35:00,,mis/imp
2020-03-27 13:50:00,,mis/imp
2020-03-27 14:05:00,,mis/imp
2020-03-27 14:20:00,,mis/imp
2020-03-27 14:35:00,,mis/imp
2020-03-27 14:50:00,,mis/imp
2020-03-27 15:05:00,,mis/imp
2020-03-27 15:20:00,,mis/imp
2020-03-27 15:35:00,,mis/imp
2020-03-27 15:50:00,,mis/imp
2020-03-27 16:05:00,,mis/imp
2020-03-27 16:20:00,,mis/imp
2020-03-27 16:35:00,,mis/imp
2020-03-27 16:50:00,,mis/imp
2020-03-27 17:05:00,,mis/imp
2020-03-27 17:20:00,,mis/imp
2020-03-27 17:35:00,,mis/imp
2020-03-27 17:50:00,,mis/imp
2020-03-27 18:05:00,,mis/imp
2020-03-27 18:20:00,,mis/imp
2020-03-27 18:35:00,,mis/imp
2020-03-27 18:50:00,,mis/imp
2020-03-27 19:05:00,,mis/imp
2020-03-27 19:20:00,,mis/imp
2020-03-27 19:35:00,,mis/imp
2020-03-27 19:50:00,,mis/imp
2020-03-27 20:05:00,,mis/imp
2020-03-27 20:20:00,,mis/imp
2020-03-27 20:35:00,,mis/imp
2020-03-27 20:50:00,,mis/imp
2020-03-28 07:05:00,,mis/imp
2020-03-28 07:20:00,,mis/imp
2020-03-28 07:35:00,,mis/imp
2020-03-28 07:50:00,,mis/imp
2020-03-28 08:05:00,,mis/imp
2020-03-28 08:20:00,,mis/imp
2020-03-28 08:35:00,1.0,mis/imp
2020-03-28 08:50:00,1.0,obs
2020-03-28 09:05:00,1.0,mis/imp
2020-03-28 09:20:00,1.0,mis/imp
2020-03-28 09:35:00,,mis/imp
2020-03-28 09:50:00,,mis/imp
2020-03-28 10:05:00,,mis/imp
2020-03-28 10:20:00,,mis/imp
2020-03-28 10:35:00,,mis/imp
2020-03-28 10:50:00,,mis/imp
2020-03-28 11:05:00,,mis/imp
2020-03-28 11:20:00,,mis/imp
2020-03-28 11:35:00,,mis/imp
2020-03-28 11:50:00,,mis/imp
2020-03-28 12:05:00,,mis/imp
2020-03-28 12:20:00,,mis/imp
2020-03-28 12:35:00,,mis/imp
2020-03-28 12:50:00,,mis/imp
2020-03-28 13:05:00,,mis/imp
2020-03-28 13:20:00,,mis/imp
2020-03-28 13:35:00,,mis/imp
2020-03-28 13:50:00,,mis/imp
2020-03-28 14:05:00,,mis/imp
2020-03-28 14:20:00,,mis/imp
2020-03-28 14:35:00,,mis/imp
2020-03-28 14:50:00,,mis/imp
2020-03-28 15:05:00,,mis/imp
2020-03-28 15:20:00,,mis/imp
2020-03-28 15:35:00,,mis/imp
2020-03-28 15:50:00,,mis/imp
2020-03-28 16:05:00,,mis/imp
2020-03-28 16:20:00,,mis/imp
2020-03-28 16:35:00,,mis/imp
2020-03-28 16:50:00,,mis/imp
2020-03-28 17:05:00,,mis/imp
2020-03-28 17:20:00,,mis/imp
2020-03-28 17:35:00,,mis/imp
2020-03-28 17:50:00,,mis/imp
2020-03-28 18:05:00,,mis/imp
2020-03-28 18:20:00,,mis/imp
2020-03-28 18:35:00,,mis/imp
2020-03-28 18:50:00,,mis/imp
2020-03-28 19:05:00,,mis/imp
2020-03-28 19:20:00,,mis/imp
2020-03-28 19:35:00,,mis/imp
2020-03-28 19:50:00,,mis/imp
2020-03-28 20:05:00,,mis/imp
2020-03-28 20:20:00,,mis/imp
2020-03-28 20:35:00,,mis/imp
2020-03-28 20:50:00,,mis/imp
2020-03-29 07:05:00,,mis/imp
2020-03-29 07:20:00,,mis/imp
2020-03-29 07:35:00,,mis/imp
2020-03-29 07:50:00,,mis/imp
2020-03-29 08:05:00,,mis/imp
2020-03-29 08:20:00,,mis/imp
2020-03-29 08:35:00,,mis/imp
2020-03-29 08:50:00,,mis/imp
2020-03-29 09:05:00,,mis/imp
2020-03-29 09:20:00,,mis/imp
2020-03-29 09:35:00,,mis/imp
2020-03-29 09:50:00,,mis/imp
2020-03-29 10:05:00,,mis/imp
2020-03-29 10:20:00,,mis/imp
2020-03-29 10:35:00,1.0,mis/imp
2020-03-29 10:50:00,1.0,obs
2020-03-29 11:05:00,1.0,mis/imp
2020-03-29 11:20:00,1.0,mis/imp
2020-03-29 11:35:00,,mis/imp
2020-03-29 11:50:00,,mis/imp
2020-03-29 12:05:00,,mis/imp
2020-03-29 12:20:00,,mis/imp
2020-03-29 12:35:00,,mis/imp
2020-03-29 12:50:00,,mis/imp
2020-03-29 13:05:00,,mis/imp
2020-03-29 13:20:00,,mis/imp
2020-03-29 13:35:00,,mis/imp
2020-03-29 13:50:00,,mis/imp
2020-03-29 14:05:00,,mis/imp
2020-03-29 14:20:00,,mis/imp
2020-03-29 14:35:00,,mis/imp
2020-03-29 14:50:00,,mis/imp
2020-03-29 15:05:00,,mis/imp
2020-03-29 15:20:00,,mis/imp
2020-03-29 15:35:00,,mis/imp
2020-03-29 15:50:00,,mis/imp
2020-03-29 16:05:00,,mis/imp
2020-03-29 16:20:00,,mis/imp
2020-03-29 16:35:00,,mis/imp
2020-03-29 16:50:00,,mis/imp
2020-03-29 17:05:00,1.0,mis/imp
2020-03-29 17:20:00,1.0,obs
