time_bin,label,Unnamed: 0,current_popularity,datetime,time,temp,humidity,rain_1h,wind_speed,wind_deg,press,source,day_name,hour
2020-04-11 16:20:00,1.0,840.0,56.0,2020-04-11 16:34:00,,49.35518469817466,29.793556008368235,1.3268915620347069e-19,25.27114439927401,291.19764314162603,1012.9946444769553,mt,Saturday,16
2020-04-15 08:50:00,0.0,1157.0,21.0,2020-04-15 08:56:00,2020-04-15 09:00:00,42.98,68.0,0.007874015748031498,16.6,310.0,1015.1,mt,Wednesday,8
2020-04-14 12:35:00,1.0,1089.0,28.0,2020-04-14 12:43:00,,49.66538890345733,48.74619911031603,-3.0508282375343217e-13,21.067884138222386,320.15587024134066,1018.7155980708368,mt,Tuesday,12
2020-04-16 08:50:00,0.0,1248.0,23.0,2020-04-16 08:59:00,2020-04-16 09:00:00,44.96,53.0,0.0,29.5,250.0,1015.8,mt,Thursday,8
2020-04-15 16:50:00,1.0,1205.0,44.0,2020-04-15 16:57:00,2020-04-15 17:00:00,51.08,33.0,0.0,20.5,320.0,1013.9,mt,Wednesday,16
2020-04-14 19:05:00,0.0,1127.0,47.0,2020-04-14 19:05:00,,53.991853736174825,40.53964024896794,-1.5060157823553178e-11,21.30128047903174,198.11450440908317,1016.7572743095793,mt,Tuesday,19
2020-04-14 19:05:00,0.0,1128.0,42.0,2020-04-14 19:15:00,,53.991853736174825,40.53964024896794,-1.5060157823553178e-11,21.30128047903174,198.11450440908317,1016.7572743095793,mt,Tuesday,19
2020-04-17 18:35:00,0.0,1372.0,21.0,2020-04-17 18:38:00,,48.29430506946299,38.2616664600255,5.004678746993381e-09,28.21336947749085,180.94529425684985,1022.4356288499173,mt,Friday,18
2020-04-17 18:35:00,0.0,1373.0,23.0,2020-04-17 18:48:00,,48.29430506946299,38.2616664600255,5.004678746993381e-09,28.21336947749085,180.94529425684985,1022.4356288499173,mt,Friday,18
2020-04-16 07:50:00,1.0,1242.0,17.0,2020-04-16 07:59:00,2020-04-16 08:00:00,46.04,55.0,0.0,33.5,240.0,1015.4,mt,Thursday,7
