current_popularity,datetime,time_bin
42,4/4/2020 12:42,2020-04-04 12:35:00
42,4/4/2020 12:52,2020-04-04 12:50:00
44,4/4/2020 13:12,2020-04-04 13:05:00
41,4/4/2020 13:22,2020-04-04 13:20:00
48,4/4/2020 13:42,2020-04-04 13:35:00
48,4/4/2020 13:52,2020-04-04 13:50:00
47,4/4/2020 14:12,2020-04-04 14:05:00
43,4/4/2020 14:22,2020-04-04 14:20:00
50,4/4/2020 14:43,2020-04-04 14:35:00
50,4/4/2020 14:53,2020-04-04 14:50:00
51,4/4/2020 15:13,2020-04-04 15:05:00
48,4/4/2020 15:23,2020-04-04 15:20:00
62,4/4/2020 15:43,2020-04-04 15:35:00
63,4/4/2020 15:53,2020-04-04 15:50:00
65,4/4/2020 16:13,2020-04-04 16:05:00
59,4/4/2020 16:23,2020-04-04 16:20:00
71,4/4/2020 16:43,2020-04-04 16:35:00
71,4/4/2020 16:53,2020-04-04 16:50:00
76,4/4/2020 17:13,2020-04-04 17:05:00
70,4/4/2020 17:23,2020-04-04 17:20:00
80,4/4/2020 17:43,2020-04-04 17:35:00
79,4/4/2020 17:53,2020-04-04 17:50:00
78,4/4/2020 18:13,2020-04-04 18:05:00
70,4/4/2020 18:23,2020-04-04 18:20:00
57,4/4/2020 18:44,2020-04-04 18:35:00
57,4/4/2020 18:54,2020-04-04 18:50:00
51,4/4/2020 19:14,2020-04-04 19:05:00
46,4/4/2020 19:24,2020-04-04 19:20:00
37,4/4/2020 19:44,2020-04-04 19:35:00
36,4/4/2020 19:54,2020-04-04 19:50:00
31,4/4/2020 20:14,2020-04-04 20:05:00
27,4/4/2020 20:24,2020-04-04 20:20:00
21,4/4/2020 20:44,2020-04-04 20:35:00
20,4/4/2020 20:54,2020-04-04 20:50:00
5,4/5/2020 6:04,2020-04-05 05:50:00
5,4/5/2020 6:14,2020-04-05 06:05:00
5,4/5/2020 6:24,2020-04-05 06:20:00
5,4/5/2020 6:44,2020-04-05 06:35:00
6,4/5/2020 6:54,2020-04-05 06:50:00
7,4/5/2020 7:14,2020-04-05 07:05:00
7,4/5/2020 7:24,2020-04-05 07:20:00
9,4/5/2020 7:44,2020-04-05 07:35:00
12,4/5/2020 7:54,2020-04-05 07:50:00
12,4/5/2020 8:14,2020-04-05 08:05:00
13,4/5/2020 8:24,2020-04-05 08:20:00
16,4/5/2020 8:44,2020-04-05 08:35:00
19,4/5/2020 8:55,2020-04-05 08:50:00
20,4/5/2020 9:05,2020-04-05 09:05:00
21,4/5/2020 9:25,2020-04-05 09:20:00
21,4/5/2020 9:35,2020-04-05 09:35:00
27,4/5/2020 9:55,2020-04-05 09:50:00
28,4/5/2020 10:05,2020-04-05 10:05:00
28,4/5/2020 10:25,2020-04-05 10:20:00
28,4/5/2020 10:35,2020-04-05 10:35:00
36,4/5/2020 10:55,2020-04-05 10:50:00
37,4/5/2020 11:05,2020-04-05 11:05:00
35,4/5/2020 11:25,2020-04-05 11:20:00
34,4/5/2020 11:35,2020-04-05 11:35:00
41,4/5/2020 11:55,2020-04-05 11:50:00
40,4/5/2020 12:05,2020-04-05 12:05:00
39,4/5/2020 12:25,2020-04-05 12:20:00
37,4/5/2020 12:35,2020-04-05 12:35:00
40,4/5/2020 12:55,2020-04-05 12:50:00
44,4/5/2020 13:05,2020-04-05 13:05:00
42,4/5/2020 13:25,2020-04-05 13:20:00
41,4/5/2020 13:35,2020-04-05 13:35:00
44,4/5/2020 13:56,2020-04-05 13:50:00
44,4/5/2020 14:06,2020-04-05 14:05:00
39,4/5/2020 14:26,2020-04-05 14:20:00
42,4/5/2020 14:36,2020-04-05 14:35:00
48,4/5/2020 14:56,2020-04-05 14:50:00
49,4/5/2020 15:06,2020-04-05 15:05:00
44,4/5/2020 15:26,2020-04-05 15:20:00
47,4/5/2020 15:36,2020-04-05 15:35:00
56,4/5/2020 15:56,2020-04-05 15:50:00
57,4/5/2020 16:06,2020-04-05 16:05:00
49,4/5/2020 16:26,2020-04-05 16:20:00
52,4/5/2020 16:36,2020-04-05 16:35:00
55,4/5/2020 16:56,2020-04-05 16:50:00
57,4/5/2020 17:06,2020-04-05 17:05:00
47,4/5/2020 17:26,2020-04-05 17:20:00
47,4/5/2020 17:36,2020-04-05 17:35:00
48,4/5/2020 17:57,2020-04-05 17:50:00
48,4/5/2020 18:07,2020-04-05 18:05:00
38,4/5/2020 18:27,2020-04-05 18:20:00
36,4/5/2020 18:37,2020-04-05 18:35:00
32,4/5/2020 18:57,2020-04-05 18:50:00
30,4/5/2020 19:07,2020-04-05 19:05:00
25,4/5/2020 19:27,2020-04-05 19:20:00
24,4/5/2020 19:37,2020-04-05 19:35:00
22,4/5/2020 19:57,2020-04-05 19:50:00
23,4/5/2020 20:07,2020-04-05 20:05:00
18,4/5/2020 20:27,2020-04-05 20:20:00
17,4/5/2020 20:37,2020-04-05 20:35:00
15,4/5/2020 20:57,2020-04-05 20:50:00
16,4/5/2020 21:07,2020-04-05 21:05:00
5,4/6/2020 6:07,2020-04-06 06:05:00
5,4/6/2020 6:27,2020-04-06 06:20:00
6,4/6/2020 6:37,2020-04-06 06:35:00
8,4/6/2020 6:57,2020-04-06 06:50:00
8,4/6/2020 7:07,2020-04-06 07:05:00
10,4/6/2020 7:27,2020-04-06 07:20:00
10,4/6/2020 7:37,2020-04-06 07:35:00
16,4/6/2020 7:57,2020-04-06 07:50:00
16,4/6/2020 8:07,2020-04-06 08:05:00
15,4/6/2020 8:27,2020-04-06 08:20:00
14,4/6/2020 8:37,2020-04-06 08:35:00
20,4/6/2020 8:57,2020-04-06 08:50:00
19,4/6/2020 9:07,2020-04-06 09:05:00
18,4/6/2020 9:27,2020-04-06 09:20:00
17,4/6/2020 9:37,2020-04-06 09:35:00
21,4/6/2020 9:57,2020-04-06 09:50:00
19,4/6/2020 10:07,2020-04-06 10:05:00
18,4/6/2020 10:27,2020-04-06 10:20:00
18,4/6/2020 10:37,2020-04-06 10:35:00
21,4/6/2020 10:58,2020-04-06 10:50:00
23,4/6/2020 11:08,2020-04-06 11:05:00
22,4/6/2020 11:28,2020-04-06 11:20:00
22,4/6/2020 11:38,2020-04-06 11:35:00
30,4/6/2020 11:58,2020-04-06 11:50:00
29,4/6/2020 12:08,2020-04-06 12:05:00
26,4/6/2020 12:28,2020-04-06 12:20:00
28,4/6/2020 12:38,2020-04-06 12:35:00
31,4/6/2020 12:58,2020-04-06 12:50:00
33,4/6/2020 13:08,2020-04-06 13:05:00
30,4/6/2020 13:28,2020-04-06 13:20:00
33,4/6/2020 13:38,2020-04-06 13:35:00
36,4/6/2020 13:58,2020-04-06 13:50:00
33,4/6/2020 14:08,2020-04-06 14:05:00
32,4/6/2020 14:28,2020-04-06 14:20:00
37,4/6/2020 14:38,2020-04-06 14:35:00
46,4/6/2020 14:59,2020-04-06 14:50:00
41,4/6/2020 15:09,2020-04-06 15:05:00
40,4/6/2020 15:29,2020-04-06 15:20:00
44,4/6/2020 15:39,2020-04-06 15:35:00
52,4/6/2020 15:59,2020-04-06 15:50:00
46,4/6/2020 16:09,2020-04-06 16:05:00
44,4/6/2020 16:29,2020-04-06 16:20:00
49,4/6/2020 16:39,2020-04-06 16:35:00
55,4/6/2020 16:59,2020-04-06 16:50:00
49,4/6/2020 17:09,2020-04-06 17:05:00
47,4/6/2020 17:29,2020-04-06 17:20:00
53,4/6/2020 17:39,2020-04-06 17:35:00
64,4/6/2020 17:59,2020-04-06 17:50:00
59,4/6/2020 18:09,2020-04-06 18:05:00
54,4/6/2020 18:29,2020-04-06 18:20:00
58,4/6/2020 18:39,2020-04-06 18:35:00
57,4/6/2020 18:50,2020-04-06 18:50:00
59,4/6/2020 19:10,2020-04-06 19:05:00
52,4/6/2020 19:20,2020-04-06 19:20:00
50,4/6/2020 19:40,2020-04-06 19:35:00
46,4/6/2020 19:50,2020-04-06 19:50:00
42,4/6/2020 20:10,2020-04-06 20:05:00
37,4/6/2020 20:20,2020-04-06 20:20:00
29,4/6/2020 20:40,2020-04-06 20:35:00
24,4/6/2020 20:50,2020-04-06 20:50:00
4,4/7/2020 6:00,2020-04-07 05:50:00
4,4/7/2020 6:10,2020-04-07 06:05:00
4,4/7/2020 6:20,2020-04-07 06:20:00
5,4/7/2020 6:40,2020-04-07 06:35:00
7,4/7/2020 6:50,2020-04-07 06:50:00
9,4/7/2020 7:10,2020-04-07 07:05:00
10,4/7/2020 7:20,2020-04-07 07:20:00
11,4/7/2020 7:40,2020-04-07 07:35:00
15,4/7/2020 7:50,2020-04-07 07:50:00
18,4/7/2020 8:10,2020-04-07 08:05:00
18,4/7/2020 8:20,2020-04-07 08:20:00
18,4/7/2020 8:41,2020-04-07 08:35:00
21,4/7/2020 8:51,2020-04-07 08:50:00
22,4/7/2020 9:11,2020-04-07 09:05:00
