time_bin,label,source,current_popularity,temp,humidity,wind_deg,press,rain_1h,wind_speed
2020-03-23 07:05:00,,mis/imp,,37.21822023678613,67.58982911115228,96.66801734972022,1036.833624937507,-3.887853749096461e-07,24.03706311024177
2020-03-23 07:20:00,,mis/imp,,37.489543713105675,67.55930407650914,93.13302266961617,1036.4744363179698,-9.806752427305534e-07,23.98824250492094
2020-03-23 07:35:00,,mis/imp,,37.761095332872394,67.24912700361143,90.53151665470405,1036.1280295394474,-1.082227489186184e-06,23.99530064713965
2020-03-23 07:50:00,,mis/imp,,37.94,67.0,90.0,1035.9,0.0,24.1
2020-03-23 08:05:00,,mis/imp,,38.02625771448851,66.81192306567489,91.53847270550398,1035.7903476996278,2.2660072248279984e-06,24.30234056350201
2020-03-23 08:20:00,,mis/imp,,38.019868476337926,66.68489620063602,95.14693477121601,1035.79907263833,5.715794185297811e-06,24.60232233764565
2020-03-23 08:35:00,,mis/imp,,37.973545000018355,66.71542123527917,98.68192945132004,1035.8082612578673,6.307684053118719e-06,25.10114294296648
2020-03-23 08:50:00,,mis/imp,,37.94,67.0,100.0,1035.7,0.0,25.9
2020-03-23 09:05:00,,mis/imp,,37.91923347628282,67.53863249479852,99.10114641725592,1035.4742888647277,-1.3207257974058345e-05,26.998893508746228
2020-03-23 09:20:00,,mis/imp,,37.91124542886682,68.33131871967473,95.98536870308777,1035.1311278520507,-3.3314089869056315e-05,28.39782346920515
2020-03-23 09:35:00,,mis/imp,,37.917634667017424,69.20834558471357,92.37690663737571,1034.7724029133478,-3.676387682952613e-05,29.447841695061502
2020-03-23 09:50:00,,mis/imp,,37.94,70.0,90.0,1034.5,0.0,29.5
2020-03-23 10:05:00,,mis/imp,,37.97834142781456,70.70628196553405,88.8546487909606,1034.3139191120065,7.697754061952207e-05,28.554298384020647
2020-03-23 10:20:00,,mis/imp,,38.03265895046111,71.3271914813157,88.9408530102575,1034.2141602493668,0.00019416874502904005,26.61073684712344
2020-03-23 10:35:00,,mis/imp,,38.04064699787711,72.03450525643949,89.55663072442564,1034.1323212620441,0.000214275576924038,24.76180688666452
2020-03-23 10:50:00,,mis/imp,,37.94,73.0,90.0,1034.0,0.0,24.1
2020-03-23 11:05:00,,mis/imp,,37.73071795682978,74.22367571199725,90.27096083698052,1033.8171964632354,-0.000448657985743074,24.625316187129894
2020-03-23 11:20:00,,mis/imp,,37.412800868366475,75.70553239243122,90.36951323536726,1033.5839106517487,-0.001131698380305184,26.337755448054203
2020-03-23 11:35:00,,mis/imp,,37.133483345719924,77.08462287664959,90.28330901607036,1033.333669514388,-0.001248889584714702,28.28131698495141
2020-03-23 11:50:00,,mis/imp,,37.04,78.0,90.0,1033.1,0.0,29.5
2020-03-23 12:05:00,,mis/imp,,37.132350831206715,78.45166376248247,89.51958618715621,1032.8829021085842,0.002614970373838921,29.993804493199967
2020-03-23 12:20:00,,mis/imp,,37.41053583934005,78.43961416409701,88.84206757753893,1032.6823758401406,0.006596021536802063,29.762730464551336
2020-03-23 12:35:00,,mis/imp,,37.728452927803374,78.45775748366303,88.7435151791522,1032.5156616516272,0.010231817836875984,29.400291203627035
2020-03-23 12:50:00,,mis/imp,,37.94,79.0,90.0,1032.4,0.011811023622047244,29.5
2020-03-23 13:05:00,,mis/imp,,38.045177055929955,80.06634171310796,92.61152204008232,1032.33539088526,0.011333638892315845,30.06185685367025
2020-03-23 13:20:00,,mis/imp,,38.0439840955932,81.65678262298684,96.57808129939914,1032.3218343074068,0.008799663647681786,31.085861764637777
2020-03-23 13:35:00,,mis/imp,,37.99079908745986,83.4188322213723,99.75559990901644,1032.2723605758501,0.007771368390230455,31.866935793286416
2020-03-23 13:50:00,,mis/imp,,37.94,85.0,100.0,1032.1,0.011811023622047244,31.7
2020-03-23 14:05:00,,mis/imp,,37.89158683321364,86.40028595886993,97.31128157234987,1031.8047525798563,0.020918629343132152,30.585054384778534
2020-03-23 14:20:00,,mis/imp,,37.84555958710075,87.61969009798206,91.68944462606605,1031.3866183154198,0.03509418555348518,28.522098947622013
2020-03-23 14:35:00,0.0,mis/imp,,37.846752547437504,88.52924918810318,85.2228853667492,1030.9251748932734,0.04943918442016648,26.598094036654487
2020-03-23 14:50:00,0.0,obs,,37.94,89.0,80.0,1030.5,0.05905511811023623,25.9
2020-03-23 15:05:00,0.0,mis/imp,,38.125301944788276,89.03194253367256,76.02078852581845,1030.1110936356008,0.06394198662369441,26.427816837658554
2020-03-23 15:20:00,0.0,mis/imp,,38.40265838180233,88.62507678912081,73.28525094420458,1029.7584558000751,0.06409978996054103,28.181544549630143
2020-03-23 15:35:00,,mis/imp,,38.718685627915214,88.40567265000868,71.4070878904884,1029.3765900645121,0.06468801327774705,30.244499986786657
2020-03-23 15:50:00,,mis/imp,,39.02,89.0,70.0,1028.9,0.07086614173228346,31.7
2020-03-23 16:05:00,,mis/imp,,39.306601498056686,90.40805883909485,69.06398727273935,1028.3286856065401,0.08263417532415028,32.54804458927017
2020-03-23 16:20:00,,mis/imp,,39.57849012208529,92.62984916729314,68.5990497087065,1027.6626468841314,0.09999211405334746,32.78863375459716
2020-03-23 16:35:00,,mis/imp,,39.79613368507126,95.03671491184488,68.83458729032039,1026.965284719657,0.11459809024405987,32.93490604262557
2020-03-23 16:50:00,,mis/imp,,39.92,97.0,70.0,1026.3,0.11811023622047245,33.5
2020-03-23 17:05:00,,mis/imp,,39.95008906687154,98.51970443175848,72.09528783774537,1025.6667927251603,0.11052855198258517,34.483915626720446
