time_bin,time,temp,humidity,rain_1h,wind_speed,wind_deg,press
2019-12-31 23:50:00,2020-01-01 00:00:00,42.08,89.0,0.0,13.0,220.0,1004.1
2020-01-01 00:05:00,,42.24055031145529,87.79497247097355,-1.7511609869735594e-46,12.77096517724343,211.69468465448708,1003.8850016138864
2020-01-01 00:20:00,,42.4440670819404,86.89329662796474,-2.3348813159647463e-46,13.294620236324576,207.25957953931615,1003.7466688185154
2020-01-01 00:35:00,,42.6905503114553,86.29497247097355,-1.75116098697356e-46,14.570965177243432,206.6946846544871,1003.6850016138866
2020-01-01 00:50:00,2020-01-01 01:00:00,42.980000000000004,86.0,0.0,16.6,210.0,1003.7
2020-01-01 01:05:00,,43.31241614757451,86.00837921504404,2.9186016449559337e-46,19.38172470459428,217.17552557585475,1003.7916639768558
2020-01-01 01:20:00,,43.68779875417883,86.32011011610575,7.004643947894238e-46,22.916139291026276,228.22126138205147,1003.9599935444539
2020-01-01 01:35:00,,43.97928198369373,86.22178595911456,7.588364276885425e-46,26.06748423194513,240.15636649722245,1004.1233263398251
2020-01-01 01:50:00,2020-01-01 02:00:00,44.06,85.0,0.0,27.7,250.0,1004.2
2020-01-01 02:05:00,,43.929952803097635,82.65475223876204,-1.576044888276204e-45,27.813686595190873,257.752161890384,1004.1900145249786
2020-01-01 02:20:00,,43.58914039298665,79.18604267540073,-3.969298237140069e-45,26.408544017517755,263.4128521683746,1004.0933699147611
2020-01-01 02:35:00,,43.21375778638234,75.62431177433905,-4.377902467433899e-45,24.749129431085763,267.3671163621779,1003.9750403471629
2020-01-01 02:50:00,2020-01-01 03:00:00,42.980000000000004,73.0,0.0,24.1,270.0,1003.9
2020-01-01 03:05:00,,42.887867033839655,71.3131073523836,9.16440916516163e-45,24.46115572426048,271.31150308184084,1003.8682488732724
2020-01-01 03:20:00,,42.93735888790128,70.56363383148982,2.311532502805099e-44,25.832596603867184,271.30162560770043,1003.87978696698
2020-01-01 03:35:00,,43.00817129801227,70.28234339485115,2.550857837691485e-44,27.237739181540302,270.64093532970986,1003.9264315771976
2020-01-01 03:50:00,2020-01-01 04:00:00,42.980000000000004,70.0,0.0,27.7,270.0,1004.0
2020-01-01 04:05:00,,42.852844993864466,69.71660364693638,-5.341041010269357e-44,27.219379059246283,269.37881961857096,1004.1004922353873
2020-01-01 04:20:00,,42.62670627960567,69.43215433566029,-1.3472265193116586e-43,25.79587635927915,268.77739418542274,1004.2279082833594
2020-01-01 04:35:00,,42.352214425544034,68.68162785655404,-1.4867356779405522e-43,24.42443547967244,268.78727165956315,1004.3413701896518
2020-01-01 04:50:00,2020-01-01 05:00:00,42.08,67.0,0.0,24.1,270.0,1004.4
2020-01-01 05:05:00,,41.81006300297355,64.38727076599814,3.112980514509998e-43,24.822569920261827,272.4155792067333,1004.4037977144038
2020-01-01 05:20:00,,41.5424034344647,60.84344015454847,7.852205865589442e-43,26.59214524045792,276.0340092797631,1004.3527633328636
2020-01-01 05:35:00,,41.2735421487235,57.87788946582456,8.665328283874165e-43,28.465647940425054,279.1354347129113,1004.3003472848915
2020-01-01 05:50:00,2020-01-01 06:00:00,41.0,57.0,0.0,29.5,280.0,1004.3
2020-01-01 06:05:00,,40.7217769882942,58.209771757074805,-1.8143778986033055e-42,29.695201419182766,278.627705141029,1004.3517214781889
2020-01-01 06:20:00,,40.43887311360611,61.50720473704896,-4.5766008674224995e-42,29.05125219797334,275.01855013599845,1004.4555117194584
2020-01-01 06:35:00,,40.16653268211496,65.05103534849863,-5.050523402530443e-42,28.18167687777725,271.4001200629687,1004.5815461009986
2020-01-01 06:50:00,2020-01-01 07:00:00,39.92,67.0,0.0,27.7,270.0,1004.7
2020-01-01 07:05:00,,39.69927506726123,67.35409869155306,1.0574969340168831e-41,27.6062215646416,270.81818994709243,1004.8108734164628
2020-01-01 07:20:00,,39.50435788389866,66.11333142315782,2.667438461797605e-41,27.900341571702047,273.854689904246,1004.9141663503865
2020-01-01 07:35:00,,39.292261758586754,64.56589844318366,2.943660758679525e-41,28.09429079291147,277.46384490927653,1005.0103761091169
2020-01-01 07:50:00,2020-01-01 08:00:00,39.019999999999996,64.0,0.0,27.7,280.0,1005.1
2020-01-01 08:05:00,,38.68757260813838,64.41563609360684,-6.163543814240968e-41,26.717469192967634,281.46315517641636,1005.1830380230356
2020-01-01 08:20:00,,38.29497958300191,65.81280672400416,-1.554697068404338e-40,25.146698371814374,281.8533104385257,1005.2594901782237
2020-01-01 08:35:00,,37.994896766364484,67.05357399239941,-1.7156912211824106e-40,23.95257836475393,281.3168104813721,1005.3311972443001
2020-01-01 08:50:00,2020-01-01 09:00:00,37.94,67.0,0.0,24.1,280.0,1005.4
2020-01-01 09:05:00,,38.13028928390847,65.65208474680594,3.5923765951428922e-40,25.588963277552594,277.9028789944093,1005.4658984453242
2020-01-01 09:20:00,,38.56576461808987,63.00982823281721,9.061438564246268e-40,28.419468197411707,275.02544746460006,1005.5288925802722
2020-01-01 09:35:00,,38.95835764322634,60.36265760241988,9.99978125122651e-40,31.440239018564966,272.1352922024908,1005.6024404250841
2020-01-01 09:50:00,2020-01-01 10:00:00,39.019999999999996,59.0,0.0,33.5,270.0,1005.7
2020-01-01 10:05:00,,38.750691688410825,58.92185542555758,-2.0937905189433257e-39,34.59875114171682,268.61957085712777,1005.8215713050201
2020-01-01 10:20:00,,38.150432708458844,60.128223879092616,-5.2813934317073264e-39,34.73649244371542,267.99400477387405,1005.9671543401442
